,Year,values_to_plot,hue
0,2005-2006,3,Far in 10 minutes
1,2006-2007,5,Far in 10 minutes
2,2007-2008,5,Far in 10 minutes
3,2008-2009,7,Far in 10 minutes
4,2009-2010,5,Far in 10 minutes
0,2005-2006,3,Aganist in 10 minutes
1,2006-2007,1,Aganist in 10 minutes
2,2007-2008,1,Aganist in 10 minutes
3,2008-2009,3,Aganist in 10 minutes
4,2009-2010,6,Aganist in 10 minutes
0,2005-2006,4,Far in 20 minutes
1,2006-2007,6,Far in 20 minutes
2,2007-2008,9,Far in 20 minutes
3,2008-2009,5,Far in 20 minutes
4,2009-2010,5,Far in 20 minutes
0,2005-2006,3,Aganist in 20 minutes
1,2006-2007,3,Aganist in 20 minutes
2,2007-2008,4,Aganist in 20 minutes
3,2008-2009,2,Aganist in 20 minutes
4,2009-2010,5,Aganist in 20 minutes
0,2005-2006,11,Far in 30 minutes
1,2006-2007,5,Far in 30 minutes
2,2007-2008,5,Far in 30 minutes
3,2008-2009,8,Far in 30 minutes
4,2009-2010,8,Far in 30 minutes
0,2005-2006,2,Aganist in 30 minutes
1,2006-2007,2,Aganist in 30 minutes
2,2007-2008,1,Aganist in 30 minutes
3,2008-2009,0,Aganist in 30 minutes
4,2009-2010,4,Aganist in 30 minutes
0,2005-2006,4,Far in 40 minutes
1,2006-2007,8,Far in 40 minutes
2,2007-2008,4,Far in 40 minutes
3,2008-2009,7,Far in 40 minutes
4,2009-2010,5,Far in 40 minutes
0,2005-2006,9,Far in 50 minutes
1,2006-2007,8,Far in 50 minutes
2,2007-2008,9,Far in 50 minutes
3,2008-2009,10,Far in 50 minutes
4,2009-2010,9,Far in 50 minutes
0,2005-2006,6,Aganist in 50 minutes
1,2006-2007,4,Aganist in 50 minutes
2,2007-2008,4,Aganist in 50 minutes
3,2008-2009,3,Aganist in 50 minutes
4,2009-2010,5,Aganist in 50 minutes
0,2005-2006,11,Far in 60 minutes
1,2006-2007,7,Far in 60 minutes
2,2007-2008,9,Far in 60 minutes
3,2008-2009,12,Far in 60 minutes
4,2009-2010,7,Far in 60 minutes
0,2005-2006,2,Aganist in 60 minutes
1,2006-2007,3,Aganist in 60 minutes
2,2007-2008,3,Aganist in 60 minutes
3,2008-2009,3,Aganist in 60 minutes
4,2009-2010,4,Aganist in 60 minutes
0,2005-2006,11,Far in 70 minutes
1,2006-2007,10,Far in 70 minutes
2,2007-2008,9,Far in 70 minutes
3,2008-2009,6,Far in 70 minutes
4,2009-2010,9,Far in 70 minutes
0,2005-2006,1,Aganist in 70 minutes
1,2006-2007,3,Aganist in 70 minutes
2,2007-2008,2,Aganist in 70 minutes
3,2008-2009,4,Aganist in 70 minutes
4,2009-2010,1,Aganist in 70 minutes
0,2005-2006,14,Far in 80 minutes
1,2006-2007,6,Far in 80 minutes
2,2007-2008,9,Far in 80 minutes
3,2008-2009,6,Far in 80 minutes
4,2009-2010,6,Far in 80 minutes
0,2005-2006,2,Aganist in 80 minutes
1,2006-2007,3,Aganist in 80 minutes
2,2007-2008,3,Aganist in 80 minutes
3,2008-2009,2,Aganist in 80 minutes
4,2009-2010,2,Aganist in 80 minutes
0,2005-2006,5,Far in 90 minutes
1,2006-2007,9,Far in 90 minutes
2,2007-2008,6,Far in 90 minutes
3,2008-2009,7,Far in 90 minutes
4,2009-2010,15,Far in 90 minutes
0,2005-2006,1,Aganist in 90 minutes
1,2006-2007,3,Aganist in 90 minutes
2,2007-2008,7,Aganist in 90 minutes
3,2008-2009,6,Aganist in 90 minutes
4,2009-2010,6,Aganist in 90 minutes
