T	o	p	  	Q	u	e	s	t	i	o	n	s	  	a	s	k	e	d	  	,	Q	u	e	s	t	i	o	n	  	I	D	  	,	L	i	n	k	  	o	f	  	t	h	e	  	q	u	e	s	t	i	o	n	,	S	c	o	r	e	  	o	f	  	t	h	e	  	q	u	e	s	t	i	o	n	  	,	w	h	o	  	a	s	k	e	d	  	t	h	e	  	q	u	e	s	t	i	o	n	  	,	U	s	e	r	  	I	D	  	o	f	  	u	s	e	r	  	  
W	h	a	t	  	d	o	e	s	  	t	h	e	  	&	q	u	o	t	;	y	i	e	l	d	&	q	u	o	t	;	  	k	e	y	w	o	r	d	  	d	o	?	,	2	3	1	7	6	7	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	2	3	1	7	6	7	/	w	h	a	t	-	d	o	e	s	-	t	h	e	-	y	i	e	l	d	-	k	e	y	w	o	r	d	-	d	o	,	5	5	7	1	,	A	l	e	x	.	  	S	.	,	1	8	3	0	0	 
	W	h	a	t	  	i	s	  	a	  	m	e	t	a	c	l	a	s	s	  	i	n	  	P	y	t	h	o	n	?	,	1	0	0	0	0	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	0	0	0	0	3	/	w	h	a	t	-	i	s	-	a	-	m	e	t	a	c	l	a	s	s	-	i	n	-	p	y	t	h	o	n	,	3	2	4	1	,	e	-	s	a	t	i	s	,	9	9	5	1	 
	H	o	w	  	d	o	  	I	  	c	h	e	c	k	  	w	h	e	t	h	e	r	  	a	  	f	i	l	e	  	e	x	i	s	t	s	  	u	s	i	n	g	  	P	y	t	h	o	n	?	,	8	2	8	3	1	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	8	2	8	3	1	/	h	o	w	-	d	o	-	i	-	c	h	e	c	k	-	w	h	e	t	h	e	r	-	a	-	f	i	l	e	-	e	x	i	s	t	s	-	u	s	i	n	g	-	p	y	t	h	o	n	,	2	7	5	7	,	s	p	e	n	c	e	9	1	,	1	5	6	1	6	 
	D	o	e	s	  	P	y	t	h	o	n	  	h	a	v	e	  	a	  	t	e	r	n	a	r	y	  	c	o	n	d	i	t	i	o	n	a	l	  	o	p	e	r	a	t	o	r	?	,	3	9	4	8	0	9	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	3	9	4	8	0	9	/	d	o	e	s	-	p	y	t	h	o	n	-	h	a	v	e	-	a	-	t	e	r	n	a	r	y	-	c	o	n	d	i	t	i	o	n	a	l	-	o	p	e	r	a	t	o	r	,	2	6	8	6	,	D	e	v	o	t	e	d	,	5	1	5	1	8	 
	C	a	l	l	i	n	g	  	a	n	  	e	x	t	e	r	n	a	l	  	c	o	m	m	a	n	d	  	i	n	  	P	y	t	h	o	n	,	8	9	2	2	8	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	8	9	2	2	8	/	c	a	l	l	i	n	g	-	a	n	-	e	x	t	e	r	n	a	l	-	c	o	m	m	a	n	d	-	i	n	-	p	y	t	h	o	n	,	2	3	3	9	,	f	r	e	s	h	W	o	W	e	r	,	1	7	0	8	5	 
	W	h	a	t	  	d	o	e	s	  	`	i	f	  	_	_	n	a	m	e	_	_	  	=	=	  	&	q	u	o	t	;	_	_	m	a	i	n	_	_	&	q	u	o	t	;	:	`	  	d	o	?	,	4	1	9	1	6	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	4	1	9	1	6	3	/	w	h	a	t	-	d	o	e	s	-	i	f	-	n	a	m	e	-	m	a	i	n	-	d	o	,	2	2	1	5	,	D	e	v	o	t	e	d	,	5	1	5	1	8	 
	H	o	w	  	t	o	  	m	a	k	e	  	a	  	c	h	a	i	n	  	o	f	  	f	u	n	c	t	i	o	n	  	d	e	c	o	r	a	t	o	r	s	  	i	n	  	P	y	t	h	o	n	?	,	7	3	9	6	5	4	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	7	3	9	6	5	4	/	h	o	w	-	t	o	-	m	a	k	e	-	a	-	c	h	a	i	n	-	o	f	-	f	u	n	c	t	i	o	n	-	d	e	c	o	r	a	t	o	r	s	-	i	n	-	p	y	t	h	o	n	,	1	9	3	5	,	I	m	r	a	n	,	1	8	9	7	 
	H	o	w	  	t	o	  	m	e	r	g	e	  	t	w	o	  	P	y	t	h	o	n	  	d	i	c	t	i	o	n	a	r	i	e	s	  	i	n	  	a	  	s	i	n	g	l	e	  	e	x	p	r	e	s	s	i	o	n	?	,	3	8	9	8	7	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	3	8	9	8	7	/	h	o	w	-	t	o	-	m	e	r	g	e	-	t	w	o	-	p	y	t	h	o	n	-	d	i	c	t	i	o	n	a	r	i	e	s	-	i	n	-	a	-	s	i	n	g	l	e	-	e	x	p	r	e	s	s	i	o	n	,	1	8	9	0	,	C	a	r	l	  	M	e	y	e	r	,	3	2	0	7	 
	S	o	r	t	  	a	  	P	y	t	h	o	n	  	d	i	c	t	i	o	n	a	r	y	  	b	y	  	v	a	l	u	e	,	6	1	3	1	8	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	6	1	3	1	8	3	/	s	o	r	t	-	a	-	p	y	t	h	o	n	-	d	i	c	t	i	o	n	a	r	y	-	b	y	-	v	a	l	u	e	,	1	8	5	5	,	G	e	r	n	  	B	l	a	n	s	t	o	n	,	2	7	8	6	 
	H	o	w	  	t	o	  	c	h	e	c	k	  	i	f	  	a	  	d	i	r	e	c	t	o	r	y	  	e	x	i	s	t	s	  	a	n	d	  	c	r	e	a	t	e	  	i	t	  	i	f	  	n	e	c	e	s	s	a	r	y	?	,	2	7	3	1	9	2	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	2	7	3	1	9	2	/	h	o	w	-	t	o	-	c	h	e	c	k	-	i	f	-	a	-	d	i	r	e	c	t	o	r	y	-	e	x	i	s	t	s	-	a	n	d	-	c	r	e	a	t	e	-	i	t	-	i	f	-	n	e	c	e	s	s	a	r	y	,	1	7	5	3	,	P	a	r	a	n	d	,	1	3	0	5	5	 
	U	s	i	n	g	  	g	l	o	b	a	l	  	v	a	r	i	a	b	l	e	s	  	i	n	  	a	  	f	u	n	c	t	i	o	n	  	o	t	h	e	r	  	t	h	a	n	  	t	h	e	  	o	n	e	  	t	h	a	t	  	c	r	e	a	t	e	d	  	t	h	e	m	,	4	2	3	3	7	9	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	4	2	3	3	7	9	/	u	s	i	n	g	-	g	l	o	b	a	l	-	v	a	r	i	a	b	l	e	s	-	i	n	-	a	-	f	u	n	c	t	i	o	n	-	o	t	h	e	r	-	t	h	a	n	-	t	h	e	-	o	n	e	-	t	h	a	t	-	c	r	e	a	t	e	d	-	t	h	e	m	,	1	7	0	0	,	u	s	e	r	4	6	6	4	6	,	4	6	6	4	6	 
	H	o	w	  	d	o	  	I	  	i	n	s	t	a	l	l	  	p	i	p	  	o	n	  	W	i	n	d	o	w	s	?	,	4	7	5	0	8	0	6	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	4	7	5	0	8	0	6	/	h	o	w	-	d	o	-	i	-	i	n	s	t	a	l	l	-	p	i	p	-	o	n	-	w	i	n	d	o	w	s	,	1	6	7	2	,	m	i	t	,	3	6	2	9	5	1	 
	B	e	s	t	  	w	a	y	  	t	o	  	c	h	e	c	k	  	i	f	  	a	  	l	i	s	t	  	i	s	  	e	m	p	t	y	,	5	3	5	1	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	5	3	5	1	3	/	b	e	s	t	-	w	a	y	-	t	o	-	c	h	e	c	k	-	i	f	-	a	-	l	i	s	t	-	i	s	-	e	m	p	t	y	,	1	6	3	4	,	R	a	y	  	V	e	g	a	,	4	8	7	2	 
	a	p	p	e	n	d	  	v	s	.	  	e	x	t	e	n	d	,	2	5	2	7	0	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	2	5	2	7	0	3	/	a	p	p	e	n	d	-	v	s	-	e	x	t	e	n	d	,	1	6	0	3	,	C	l	a	u	d	i	u	,	1	5	0	5	5	 
	W	h	a	t	  	i	s	  	t	h	e	  	d	i	f	f	e	r	e	n	c	e	  	b	e	t	w	e	e	n	  	@	s	t	a	t	i	c	m	e	t	h	o	d	  	a	n	d	  	@	c	l	a	s	s	m	e	t	h	o	d	  	i	n	  	P	y	t	h	o	n	?	,	1	3	6	0	9	7	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	3	6	0	9	7	/	w	h	a	t	-	i	s	-	t	h	e	-	d	i	f	f	e	r	e	n	c	e	-	b	e	t	w	e	e	n	-	s	t	a	t	i	c	m	e	t	h	o	d	-	a	n	d	-	c	l	a	s	s	m	e	t	h	o	d	-	i	n	-	p	y	t	h	o	n	,	1	5	9	8	,	D	a	r	y	l	  	S	p	i	t	z	e	r	,	4	7	6	6	 
	D	o	e	s	  	P	y	t	h	o	n	  	h	a	v	e	  	a	  	s	t	r	i	n	g	  	c	o	n	t	a	i	n	s	  	s	u	b	s	t	r	i	n	g	  	m	e	t	h	o	d	?	,	3	4	3	7	0	5	9	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	3	4	3	7	0	5	9	/	d	o	e	s	-	p	y	t	h	o	n	-	h	a	v	e	-	a	-	s	t	r	i	n	g	-	c	o	n	t	a	i	n	s	-	s	u	b	s	t	r	i	n	g	-	m	e	t	h	o	d	,	1	5	3	8	,	B	l	a	n	k	m	a	n	,	3	9	6	7	7	 
	H	o	w	  	t	o	  	l	i	s	t	  	a	l	l	  	f	i	l	e	s	  	o	f	  	a	  	d	i	r	e	c	t	o	r	y	  	i	n	  	P	y	t	h	o	n	,	3	2	0	7	2	1	9	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	3	2	0	7	2	1	9	/	h	o	w	-	t	o	-	l	i	s	t	-	a	l	l	-	f	i	l	e	s	-	o	f	-	a	-	d	i	r	e	c	t	o	r	y	-	i	n	-	p	y	t	h	o	n	,	1	5	2	9	,	d	u	h	h	u	n	j	o	n	n	,	3	8	5	6	5	2	 
	A	c	c	e	s	s	i	n	g	  	t	h	e	  	i	n	d	e	x	  	i	n	  	P	y	t	h	o	n	  	&	#	3	9	;	f	o	r	&	#	3	9	;	  	l	o	o	p	s	,	5	2	2	5	6	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	5	2	2	5	6	3	/	a	c	c	e	s	s	i	n	g	-	t	h	e	-	i	n	d	e	x	-	i	n	-	p	y	t	h	o	n	-	f	o	r	-	l	o	o	p	s	,	1	5	2	7	,	J	o	a	n	  	V	e	n	g	e	,	5	1	8	1	6	 
	&	q	u	o	t	;	L	e	a	s	t	  	A	s	t	o	n	i	s	h	m	e	n	t	&	q	u	o	t	;	  	a	n	d	  	t	h	e	  	M	u	t	a	b	l	e	  	D	e	f	a	u	l	t	  	A	r	g	u	m	e	n	t	,	1	1	3	2	9	4	1	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	1	3	2	9	4	1	/	l	e	a	s	t	-	a	s	t	o	n	i	s	h	m	e	n	t	-	a	n	d	-	t	h	e	-	m	u	t	a	b	l	e	-	d	e	f	a	u	l	t	-	a	r	g	u	m	e	n	t	,	1	5	1	6	,	S	t	e	f	a	n	o	  	B	o	r	i	n	i	,	7	8	3	7	4	 
	H	o	w	  	d	o	  	I	  	p	a	s	s	  	a	  	v	a	r	i	a	b	l	e	  	b	y	  	r	e	f	e	r	e	n	c	e	?	,	9	8	6	0	0	6	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	9	8	6	0	0	6	/	h	o	w	-	d	o	-	i	-	p	a	s	s	-	a	-	v	a	r	i	a	b	l	e	-	b	y	-	r	e	f	e	r	e	n	c	e	,	1	4	7	3	,	D	a	v	i	d	  	S	y	k	e	s	,	2	5	9	 
	H	i	d	d	e	n	  	f	e	a	t	u	r	e	s	  	o	f	  	P	y	t	h	o	n	,	1	0	1	2	6	8	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	0	1	2	6	8	/	h	i	d	d	e	n	-	f	e	a	t	u	r	e	s	-	o	f	-	p	y	t	h	o	n	,	1	4	2	2	,	j	e	l	o	v	i	r	t	,	2	6	7	9	 
	D	i	f	f	e	r	e	n	c	e	  	b	e	t	w	e	e	n	  	_	_	s	t	r	_	_	  	a	n	d	  	_	_	r	e	p	r	_	_	  	i	n	  	P	y	t	h	o	n	,	1	4	3	6	7	0	3	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	4	3	6	7	0	3	/	d	i	f	f	e	r	e	n	c	e	-	b	e	t	w	e	e	n	-	s	t	r	-	a	n	d	-	r	e	p	r	-	i	n	-	p	y	t	h	o	n	,	1	3	7	8	,	C	a	s	e	b	a	s	h	,	1	6	5	4	9	5	 
	I	s	  	t	h	e	r	e	  	a	  	w	a	y	  	t	o	  	r	u	n	  	P	y	t	h	o	n	  	o	n	  	A	n	d	r	o	i	d	?	,	1	0	1	7	5	4	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	1	0	1	7	5	4	/	i	s	-	t	h	e	r	e	-	a	-	w	a	y	-	t	o	-	r	u	n	-	p	y	t	h	o	n	-	o	n	-	a	n	d	r	o	i	d	,	1	3	7	1	,	e	-	s	a	t	i	s	,	9	9	5	1	 
	U	n	d	e	r	s	t	a	n	d	i	n	g	  	P	y	t	h	o	n	  	s	u	p	e	r	(	)	  	w	i	t	h	  	_	_	i	n	i	t	_	_	(	)	  	m	e	t	h	o	d	s	,	5	7	6	1	6	9	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	5	7	6	1	6	9	/	u	n	d	e	r	s	t	a	n	d	i	n	g	-	p	y	t	h	o	n	-	s	u	p	e	r	-	w	i	t	h	-	i	n	i	t	-	m	e	t	h	o	d	s	,	1	3	5	0	,	M	i	z	i	p	z	o	r	,	5	6	7	6	3	 
	E	x	p	l	a	i	n	  	P	y	t	h	o	n	&	#	3	9	;	s	  	s	l	i	c	e	  	n	o	t	a	t	i	o	n	,	5	0	9	2	1	1	,	h	t	t	p	:	/	/	s	t	a	c	k	o	v	e	r	f	l	o	w	.	c	o	m	/	q	u	e	s	t	i	o	n	s	/	5	0	9	2	1	1	/	e	x	p	l	a	i	n	-	p	y	t	h	o	n	s	-	s	l	i	c	e	-	n	o	t	a	t	i	o	n	,	1	3	4	7	,	S	i	m	o	n	,	2	4	0	3	9	 

